Name,Branch,Field of Interest,Domain of Interest,Languages Known,Frameworks Used,Tools Experience,Technologies to Learn,Project Duration,Open-Source Contribution,Achievements
Ashley Rodriguez,Electrical Engineering,"['mobile app development', 'edge computing']","['robotics', 'human-computer interaction']","['R', 'PHP', 'Swift', 'MATLAB', 'Rust']","['Spring Boot', 'Ruby on Rails', 'Ionic', 'Ember.js']","['GitHub', 'MongoDB']",['GitHub'],1 month,Contributed to XYZ project,Awarded XYZ in Electrical Engineering
Lori Martin,Computer Science,"['robotics', 'autonomous systems']",['cybersecurity'],['Lua'],"['NestJS', 'Express.js', 'Svelte', 'React']","['Redis', 'TensorFlow', 'GitLab']","['PostgreSQL', 'Git', 'TensorFlow', 'MongoDB']",2 months,Contributed to XYZ project,No achievements
Rebecca Carroll,Computer Science,"['data science', 'computer architecture', 'DevOps']","['blockchain', 'bioinformatics']","['Shell Scripting', 'R', 'Go', 'Swift']","['NestJS', 'Flask', 'Next.js']","['GitLab', 'Kubernetes', 'Redis', 'Docker']","['AWS', 'TensorFlow']",1 week,No open-source contribution,No achievements
Tiffany Cruz,Electronics and Communication,['digital signal processing'],"['quantum computing', 'cybersecurity']","['Lua', 'Python', 'SQL', 'R', 'TypeScript']","['Next.js', 'Ember.js']","['GitHub', 'MongoDB']",['Git'],2 months,Contributed to XYZ project,No achievements
Patricia Rowe,Information Technology,"['artificial intelligence', 'quantum computing', 'blockchain']","['robotics', 'cybersecurity']",['Lua'],"['Django', 'Ionic']","['GitLab', 'Git', 'Jenkins', 'AWS']","['TensorFlow', 'TensorFlow', 'MongoDB']",2 months,Contributed to XYZ project,No achievements
Katherine Huynh,Mechanical Engineering,['network engineering'],"['bioinformatics', 'game development']","['PHP', 'Objective-C']","['React Native', 'Vue.js', 'Next.js', 'Express.js']","['MySQL', 'Elasticsearch', 'GitHub', 'Azure']","['Ansible', 'Elasticsearch', 'Azure']",1 month,No open-source contribution,Awarded XYZ in Mechanical Engineering
Jeff Hardy,Biotechnology,"['distributed systems', 'ethical hacking']","['cybersecurity', 'web and mobile development', 'game development']","['PHP', 'R', 'Shell Scripting']","['Express.js', 'React', 'Ember.js', 'Spring Boot']","['GitLab', 'Azure', 'PostgreSQL', 'Keras']","['GitHub', 'PyTorch', 'Jenkins', 'Kubernetes']",2 months,Contributed to XYZ project,No achievements
Ashley Mcmillan,Biotechnology,['bioinformatics'],"['data science and analytics', 'blockchain']","['Shell Scripting', 'Java']",['Django'],"['PyTorch', 'Ansible', 'Azure']","['Redis', 'GitLab', 'Keras']",1 month,No open-source contribution,Awarded XYZ in Biotechnology
Victor Fox,Mechanical Engineering,"['generative AI', 'game development']","['data science and analytics', 'robotics', 'web and mobile development']","['C', 'Ruby', 'C#', 'Lua']","['Ember.js', 'Blitz.js']","['Elasticsearch', 'MySQL', 'Google Cloud', 'TensorFlow']",['MySQL'],2 months,No open-source contribution,No achievements
Michael Coleman,Biotechnology,['reinforcement learning'],"['blockchain', 'IoT']",['TypeScript'],"['Flask', 'Next.js']",['GitHub'],"['Redis', 'PostgreSQL']",1 week,No open-source contribution,No achievements
Ashley Obrien,Mechanical Engineering,['big data'],['cybersecurity'],"['Java', 'Kotlin']",['Ruby on Rails'],['AWS'],['GitLab'],1 week,Contributed to XYZ project,No achievements
Joshua Smith,Biotechnology,"['DevOps', 'artificial intelligence']","['blockchain', 'IoT', 'human-computer interaction']","['MATLAB', 'PHP', 'TypeScript']","['Ruby on Rails', 'Ember.js', 'Next.js']","['Elasticsearch', 'MongoDB', 'Google Cloud']","['Ansible', 'Jenkins', 'Google Cloud', 'Elasticsearch']",1 month,Contributed to XYZ project,Awarded XYZ in Biotechnology
Stacey Morgan,Information Technology,"['parallel computing', 'reinforcement learning']",['robotics'],['Kotlin'],['Express.js'],"['GitLab', 'MySQL']","['Jenkins', 'TensorFlow']",2 months,Contributed to XYZ project,No achievements
David Reid,Electronics and Communication,"['artificial intelligence', 'edge computing', 'ethical hacking']",['human-computer interaction'],"['Kotlin', 'Ruby', 'C', 'Go']","['Laravel', 'React Native', 'Express.js']",['AWS'],"['GitLab', 'Jenkins', 'Redis', 'Kubernetes']",2 months,No open-source contribution,No achievements
Debra Reynolds,Information Technology,['parallel computing'],"['bioinformatics', 'robotics', 'blockchain']","['Dart', 'Go', 'Rust', 'C++']","['Flask', 'Blitz.js', 'Flutter']",['Redis'],"['Jenkins', 'Elasticsearch', 'MySQL']",1 month,Contributed to XYZ project,No achievements
Judy Kidd,Biotechnology,['human-computer interaction'],"['cybersecurity', 'quantum computing', 'bioinformatics']","['Swift', 'MATLAB', 'Shell Scripting', 'JavaScript', 'Java']","['Vue.js', 'Ember.js']","['Ansible', 'Docker', 'Keras', 'Jenkins']","['Elasticsearch', 'GitLab', 'Google Cloud']",2 months,No open-source contribution,No achievements
Travis Meyer,Civil Engineering,"['game development', 'system architecture']","['game development', 'human-computer interaction']","['Lua', 'Objective-C', 'Kotlin', 'JavaScript', 'Java']","['Vue.js', 'Flask']","['Kubernetes', 'Git']","['PyTorch', 'TensorFlow']",1 month,No open-source contribution,No achievements
Sean Willis,Computer Science,['computational biology'],['cybersecurity'],"['PHP', 'R']","['React', 'Laravel', 'Flask', 'Angular']","['PyTorch', 'AWS', 'Azure', 'Docker']",['Azure'],1 month,Contributed to XYZ project,Awarded XYZ in Computer Science
Linda Gutierrez,Mechanical Engineering,"['IoT', 'business intelligence']","['cybersecurity', 'data science and analytics', 'robotics']","['Dart', 'C#']",['React'],['PostgreSQL'],"['Redis', 'MySQL', 'Git', 'Docker']",2 months,Contributed to XYZ project,No achievements
Katie Brooks,Electronics and Communication,"['computational biology', 'distributed systems']",['artificial intelligence and machine learning'],"['C', 'SQL', 'Shell Scripting', 'Go']","['Nuxt.js', 'Next.js', 'NestJS']","['Azure', 'AWS', 'Google Cloud', 'PyTorch']","['Keras', 'GitHub', 'MySQL', 'Ansible']",1 week,No open-source contribution,No achievements
Kimberly Sharp,Mechanical Engineering,"['computer architecture', 'bioinformatics']",['artificial intelligence and machine learning'],"['Python', 'Kotlin', 'Swift', 'Rust']",['Express.js'],"['Google Cloud', 'Git']","['MySQL', 'Kubernetes', 'AWS']",1 month,Contributed to XYZ project,Awarded XYZ in Mechanical Engineering
Sharon Sampson,Computer Science,['business intelligence'],"['cybersecurity', 'human-computer interaction']","['MATLAB', 'Objective-C']","['Django', 'Ionic', 'Angular', 'Express.js']","['MySQL', 'Azure', 'Ansible']","['Keras', 'Elasticsearch']",2 months,Contributed to XYZ project,No achievements
Diana Miller,Biotechnology,"['game development', 'computational theory']","['blockchain', 'cybersecurity', 'robotics']","['TypeScript', 'R', 'Kotlin', 'PHP', 'Swift']","['Flask', 'React', 'Ruby on Rails', 'Spring Boot']",['AWS'],['Ansible'],1 month,Contributed to XYZ project,No achievements
Dana Soto,Civil Engineering,"['artificial intelligence', 'machine learning', 'computer vision']",['quantum computing'],['Shell Scripting'],"['Flutter', 'Next.js', 'Vue.js', 'Laravel']","['Google Cloud', 'Git', 'Kubernetes', 'AWS']","['Azure', 'Kubernetes', 'TensorFlow']",1 week,Contributed to XYZ project,No achievements
Stacy Evans,Information Technology,['big data'],['data science and analytics'],"['C', 'Dart', 'Java', 'Ruby']","['Ruby on Rails', 'Laravel']","['Git', 'Docker', 'Google Cloud']","['TensorFlow', 'Keras', 'Jenkins', 'AWS']",1 month,No open-source contribution,No achievements
Jennifer Mills,Civil Engineering,"['ethical hacking', 'computational theory']","['human-computer interaction', 'game development']","['PHP', 'Scala']","['Laravel', 'Svelte', 'Angular']","['TensorFlow', 'Git', 'TensorFlow']","['Jenkins', 'Kubernetes']",2 months,No open-source contribution,No achievements
John Hernandez,Mechanical Engineering,"['mobile app development', 'cryptography']","['web and mobile development', 'blockchain']","['Python', 'Rust']","['Nuxt.js', 'Blitz.js']","['Elasticsearch', 'MongoDB']","['TensorFlow', 'GitLab', 'Ansible']",2 months,Contributed to XYZ project,No achievements
Shelby Hernandez,Electronics and Communication,"['generative AI', 'parallel computing']","['blockchain', 'bioinformatics', 'game development']","['Kotlin', 'Swift', 'R']",['Blitz.js'],"['GitHub', 'AWS']",['Git'],1 week,No open-source contribution,Awarded XYZ in Electronics and Communication
Derek Wood,Civil Engineering,"['AR/VR', 'deep learning', 'bioinformatics']","['web and mobile development', 'quantum computing']","['C', 'R', 'TypeScript']","['Flask', 'React Native', 'Next.js', 'Angular']",['Google Cloud'],"['Docker', 'Azure']",1 month,Contributed to XYZ project,No achievements
Chad Reyes,Civil Engineering,"['computer vision', 'computational theory', 'big data']","['IoT', 'human-computer interaction', 'quantum computing']","['C', 'SQL']","['Vue.js', 'Next.js']","['Redis', 'Ansible']",['TensorFlow'],1 week,No open-source contribution,No achievements
Eric Martinez,Electronics and Communication,"['robotics', 'big data']",['cybersecurity'],['Python'],"['Svelte', 'Ruby on Rails']","['GitHub', 'MySQL', 'Docker', 'PyTorch']","['TensorFlow', 'AWS', 'Jenkins']",2 months,Contributed to XYZ project,No achievements
Katherine Kelly,Mechanical Engineering,['business intelligence'],"['web and mobile development', 'artificial intelligence and machine learning', 'blockchain']","['Scala', 'Ruby']","['React', 'Meteor', 'Vue.js']","['MongoDB', 'MySQL', 'PyTorch', 'GitHub']","['Azure', 'Git']",2 months,No open-source contribution,No achievements
Chris Ellis,Mechanical Engineering,['IoT'],"['cybersecurity', 'robotics']","['Shell Scripting', 'JavaScript', 'Lua', 'Scala']",['Next.js'],"['Elasticsearch', 'PostgreSQL', 'Kubernetes', 'MySQL']","['PyTorch', 'Ansible']",1 week,No open-source contribution,No achievements
Michael Rice,Civil Engineering,['deep learning'],"['data science and analytics', 'web and mobile development', 'robotics']","['C#', 'Ruby']","['Next.js', 'Ionic', 'Flask']","['GitHub', 'Elasticsearch', 'Ansible']","['Keras', 'MongoDB', 'Git']",1 week,No open-source contribution,No achievements
Nathan Mitchell,Mechanical Engineering,['system architecture'],"['game development', 'web and mobile development', 'data science and analytics']","['Dart', 'Python', 'Kotlin', 'Ruby', 'R']",['Spring Boot'],"['PyTorch', 'TensorFlow', 'GitHub', 'Azure']",['GitHub'],1 month,Contributed to XYZ project,Awarded XYZ in Mechanical Engineering
Michelle Scott,Electronics and Communication,"['parallel computing', 'business intelligence']","['robotics', 'IoT', 'quantum computing']","['Go', 'Ruby']","['Angular', 'Vue.js']",['TensorFlow'],"['PostgreSQL', 'MySQL', 'MongoDB']",2 months,Contributed to XYZ project,No achievements
Kelly Butler,Information Technology,"['digital signal processing', 'quantum computing']","['game development', 'cybersecurity']","['C', 'Rust', 'R', 'Shell Scripting', 'MATLAB']","['Express.js', 'Ruby on Rails', 'Laravel', 'Spring Boot']","['Ansible', 'Git', 'Azure']","['Ansible', 'GitHub']",1 month,Contributed to XYZ project,No achievements
Jared Nelson,Electronics and Communication,['blockchain'],"['quantum computing', 'bioinformatics', 'artificial intelligence and machine learning']","['C++', 'Ruby']","['Spring Boot', 'Blitz.js', 'NestJS']","['TensorFlow', 'Keras', 'Redis']",['Docker'],1 month,No open-source contribution,No achievements
Sherry Rhodes,Computer Science,"['artificial intelligence', 'big data', 'data engineering']","['human-computer interaction', 'game development', 'IoT']",['Go'],"['Ionic', 'Flutter']","['GitLab', 'PostgreSQL', 'Docker', 'Redis']","['Kubernetes', 'Google Cloud']",1 month,Contributed to XYZ project,No achievements
Julie Terry,Electronics and Communication,['cryptography'],"['blockchain', 'game development', 'bioinformatics']","['C++', 'MATLAB', 'TypeScript']","['Blitz.js', 'Spring Boot', 'React Native']","['AWS', 'Elasticsearch', 'GitHub', 'GitLab']","['GitHub', 'Azure', 'PyTorch']",2 months,No open-source contribution,No achievements
Melanie Crawford,Computer Science,"['computer architecture', 'mobile app development']","['human-computer interaction', 'cybersecurity']",['Go'],"['Laravel', 'Ruby on Rails', 'Svelte']",['AWS'],['MySQL'],2 months,No open-source contribution,Awarded XYZ in Computer Science
Morgan Mata,Electronics and Communication,"['generative AI', 'distributed systems', 'embedded systems']",['data science and analytics'],"['SQL', 'C', 'Java', 'Rust']","['Flask', 'Next.js']","['Kubernetes', 'Keras', 'Docker', 'PostgreSQL']",['Docker'],1 month,Contributed to XYZ project,No achievements
Donna Maynard,Electrical Engineering,"['edge computing', 'parallel computing', 'deep learning']","['blockchain', 'IoT']","['JavaScript', 'MATLAB', 'Python']","['Ionic', 'Svelte', 'Blitz.js']","['Elasticsearch', 'Keras', 'TensorFlow']","['MongoDB', 'Git', 'Kubernetes']",2 months,No open-source contribution,No achievements
John Wood,Civil Engineering,"['data engineering', 'web app development']",['artificial intelligence and machine learning'],"['C#', 'Python', 'Java', 'C++', 'Dart']",['Express.js'],"['Ansible', 'TensorFlow', 'Azure']","['MySQL', 'GitHub']",2 months,No open-source contribution,Awarded XYZ in Civil Engineering
Cheryl Brown,Electronics and Communication,"['blockchain', 'data science']",['artificial intelligence and machine learning'],"['Go', 'Python', 'Java', 'Shell Scripting', 'C#']","['Flask', 'Angular', 'Vue.js', 'Spring Boot']","['Git', 'Kubernetes']","['MySQL', 'MongoDB']",1 week,No open-source contribution,No achievements
Brandi Wheeler,Computer Science,['software engineering'],"['IoT', 'robotics', 'data science and analytics']","['C#', 'Java']","['Ember.js', 'Ionic', 'Ruby on Rails', 'Express.js']","['Keras', 'PostgreSQL', 'Google Cloud']","['Jenkins', 'Kubernetes', 'TensorFlow', 'Google Cloud']",2 months,Contributed to XYZ project,No achievements
Natalie Sullivan,Computer Science,"['reinforcement learning', 'cryptography']",['quantum computing'],"['Ruby', 'MATLAB', 'Dart']",['NestJS'],"['PostgreSQL', 'Kubernetes', 'PyTorch', 'Jenkins']","['Ansible', 'Google Cloud', 'PyTorch', 'Docker']",1 month,Contributed to XYZ project,No achievements
Nicholas Santiago,Mechanical Engineering,['web app development'],"['game development', 'human-computer interaction']","['MATLAB', 'Scala', 'SQL']","['Ionic', 'Laravel', 'Vue.js', 'Ruby on Rails']","['PostgreSQL', 'Google Cloud', 'Elasticsearch']","['TensorFlow', 'GitLab']",1 month,No open-source contribution,No achievements
Jacqueline Fry,Electronics and Communication,"['ethical hacking', 'generative AI', 'software engineering']","['data science and analytics', 'bioinformatics', 'quantum computing']","['PHP', 'MATLAB', 'R', 'C++', 'Go']","['Meteor', 'Express.js']","['Kubernetes', 'GitHub', 'Git', 'GitLab']","['TensorFlow', 'Keras', 'GitLab', 'PyTorch']",1 month,No open-source contribution,No achievements
Gary Freeman,Computer Science,"['computer architecture', 'embedded systems']","['quantum computing', 'human-computer interaction', 'cybersecurity']","['JavaScript', 'C++', 'Lua', 'Shell Scripting', 'Scala']",['Svelte'],"['AWS', 'MySQL', 'Kubernetes', 'TensorFlow']",['Kubernetes'],2 months,No open-source contribution,No achievements
Troy Phillips,Computer Science,"['distributed systems', 'blockchain', 'big data']","['quantum computing', 'human-computer interaction', 'IoT']","['Lua', 'Scala', 'C', 'JavaScript', 'PHP']",['Angular'],"['Jenkins', 'TensorFlow', 'Kubernetes']","['TensorFlow', 'GitHub', 'TensorFlow', 'Kubernetes']",1 week,Contributed to XYZ project,Awarded XYZ in Computer Science
Sandra White,Civil Engineering,"['business intelligence', 'reinforcement learning']",['human-computer interaction'],['R'],"['Ionic', 'NestJS', 'Django']","['MySQL', 'PyTorch', 'Kubernetes', 'Google Cloud']",['PyTorch'],1 week,Contributed to XYZ project,No achievements
Natalie Lee,Civil Engineering,"['data science', 'autonomous systems']",['IoT'],"['Python', 'JavaScript', 'Lua', 'Scala', 'Java']","['Express.js', 'Laravel', 'Meteor', 'Flutter']","['TensorFlow', 'Docker']","['Kubernetes', 'AWS']",1 month,Contributed to XYZ project,No achievements
